run_id,target_id,detection_id,class_name,class_id,confidence,weed_bbox_area_px2,weed_mask_area_px2,x_target_mm,y_target_mm,z_target_mm,cell_id,cell_row,cell_col,cell_center_x_mm,cell_center_y_mm,distance_from_cell_center_mm,radius_from_survey_mm,angle_from_survey_deg,ring_index,axis_label,quadrant_label,was_selected_by_trial_filter,selection_reason,x_commanded_mm,y_commanded_mm,x_final_mm,y_final_mm,position_error_mm,travel_distance_mm,travel_time_s,reid_time_s,fine_align_time_s,pd_time_s,fire_time_s,per_target_total_time_s,per_target_treatment_time_s,pd_iterations,pd_converged,fired,fine_align_reid_yolo_time_s,fine_align_reid_total_time_s,fine_align_pd_lk_time_s,final_snap_time_s,fine_align_snap_used,fine_align_snap_move_px,reid_ok,reid_error,reid_filter_mode,reid_left_count,reid_right_count,reid_match_count,reid_expected_cls,reid_point_mode,reid_burst_count,reid_chosen,reid_chosen_pd_err_px,reid_chosen_tri_dist_mm,reid_chosen_geo_score,reid_reject_crop,reid_reject_duplicate,reid_reject_pd,reid_reject_epipolar,reid_reject_max_tri_dist,reid_timing_total_s,reid_timing_yolo_s,reid_timing_match_s,hit_success,false_positive,missed,status,notes
20260506_110724,11,11,,1,0.885693359375,2746.371,,309.1859893237351,299.6953606540054,,r3_c5,3,5,330.0,294.0,21.579,185.284,53.893,2,diagonal,upper_right,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,12,12,,1,0.9058349609375,3154.91,,310.3301466203543,221.65383219873334,,r2_c5,2,5,330.0,210.0,22.863,131.556,33.002,2,off_axis,upper_right,True,inside_selected_cell,310.3301466203543,221.65383219873334,305.138,224.05,,112.44,1.139,1.43312,1.342362,2.801,2.007,5.949,5.921,,True,True,0.349545,1.43312,1.342362,0.0,False,,True,,geometry,3,2,1,1,box_center,10,True,12.206555615733702,7.3201779678845265,0.5,0,0,0,0,1,1.43312,0.349545,0.000598,,,,locked_fired,
20260506_110724,13,13,,1,0.915380859375,2533.556,,319.7029486331132,62.67018571223117,,r0_c5,0,5,330.0,42.0,23.093,148.173,-36.113,2,off_axis,lower_right,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,14,14,,1,0.9212890625,2522.801,,353.2245676838544,298.98003100718176,,r3_c5,3,5,330.0,294.0,23.752,213.712,44.195,2,diagonal,upper_right,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,15,15,,1,0.8935302734375,2410.588,,366.8534832137601,150.23685706036346,,r1_c6,1,6,390.0,126.0,33.514,166.854,0.081,3,horizontal,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,1,1,,1,0.9035400390625,1944.329,,18.66243633087895,117.05123064116229,,r1_c0,1,0,30.0,126.0,14.444,184.307,-169.702,3,horizontal,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,2,2,,1,0.956201171875,2258.231,,27.72963928347304,205.98800861664438,,r2_c0,2,0,30.0,210.0,4.61,181.14,161.996,3,off_axis,upper_left,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,3,3,,1,0.9153374565972222,2320.898,,90.652721695568,279.56858476325044,,r3_c1,3,1,90.0,294.0,14.446,169.543,130.162,2,diagonal,upper_left,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,4,4,,1,0.9524169921875,1907.594,,92.00278176051832,48.482266559968885,,r0_c1,0,1,90.0,42.0,6.785,148.22,-136.771,2,off_axis,lower_left,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,5,5,,1,0.924365234375,2197.903,,144.16182127729675,136.41737370827374,,r1_c2,1,2,150.0,126.0,11.942,57.466,-166.328,1,horizontal,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,6,6,,1,0.91767578125,1524.136,,143.90161717274134,211.0284346215269,,r2_c2,2,2,150.0,210.0,6.184,82.895,132.59,1,diagonal,upper_left,True,inside_selected_cell,143.90161717274134,211.0284346215269,139.613,212.775,,57.17,0.835,1.271745,1.227493,2.525,2.006,5.368,5.34,,True,True,0.228364,1.271745,1.227493,0.0,False,,True,,geometry,3,4,1,1,box_center,10,True,10.63014581273465,6.481754006153002,0.5,1,0,0,0,0,1.271745,0.228364,0.000698,,,,locked_fired,
20260506_110741,7,7,,1,0.9102294921875,2444.723,,201.03930662346772,292.6459470638111,,r3_c3,3,3,210.0,294.0,9.062,142.65,89.583,2,vertical,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,8,8,,1,0.821142578125,2183.165,,199.18135531709947,32.540821647317735,,r0_c3,0,3,210.0,42.0,14.371,117.462,-90.399,1,vertical,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,9,9,,1,0.9441650390625,2734.102,,252.10757443656507,136.70245492096666,,r1_c4,1,4,270.0,126.0,20.849,53.778,-14.316,1,horizontal,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,10,10,,1,0.933740234375,2495.745,,263.9899936403125,222.36094390021555,,r2_c4,2,4,270.0,210.0,13.745,96.596,48.513,1,diagonal,upper_right,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,11,11,,1,0.87978515625,2718.571,,310.0008292092933,302.69373076083457,,r3_c5,3,5,330.0,294.0,21.807,188.19,54.231,2,diagonal,upper_right,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,12,12,,1,0.89677734375,3094.419,,311.2608141903925,222.09295010895534,,r2_c5,2,5,330.0,210.0,22.302,132.576,32.942,2,off_axis,upper_right,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,13,13,,1,0.9084716796875,2657.973,,319.224159866627,59.99133258051632,,r0_c5,0,5,330.0,42.0,20.972,149.385,-37.051,2,off_axis,lower_right,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110741,14,14,,1,0.9240478515625,2371.008,,353.63624721679406,299.50968659787543,,r3_c5,3,5,330.0,294.0,24.27,214.376,44.22,2,diagonal,upper_right,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
