run_id,trial_id,trial_type,layout_type,workspace_width_mm,workspace_height_mm,workspace_area_mm2,expected_weed_count,expected_kale_count,expected_total_plants,num_detections_left,num_detections_right,num_stereo_matches,num_targets_planned,num_targets_attempted,num_targets_fired,num_targets_hit,num_weeds_missed,num_false_positives,survey_time_s,detection_time_s,stereo_matching_time_s,triangulation_time_s,planning_time_s,total_travel_time_s,total_pd_time_s,total_fire_time_s,total_state_overhead_time_s,total_run_time_s,planned_path_length_mm,actual_path_length_mm,area_rate_mm2_per_s,area_rate_m2_per_min,weeds_per_min,run_status,notes
20260425_172752,,timing,grid,450.0,440.0,198000.0,0,0,0,6,5,5,5,5,5,,,,3.42,1.429,6.481321,0.200931,3.208895,0.002473,,0.003,0.001,0.0,4.723,23.35,9.769,9.896,13.139,0.0,10.06,12.238,717,0,,42.598,397.35,,4648.106,0.2789,7.043,complete,,True,3.411438,3.069549,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_022_20260425_172745,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_022_20260425_172745/manifest.jsonl,717,49.081,0.202713,0.0,3.216846,1e-05,box_center,3
20260425_172913,,timing,grid,450.0,440.0,198000.0,0,0,0,7,6,6,6,6,4,,,,5.217,1.428,7.108993,0.341137,4.865389,0.002507,,0.004,0.001,0.0,5.076,21.479,11.228,11.387,9.774,0.0,8.019,13.263,716,0,,41.195,392.97,,4806.409,0.2884,5.826,complete,,True,3.622623,3.486018,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_023_20260425_172906,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_023_20260425_172906/manifest.jsonl,716,48.305,0.34258,0.0,4.873206,1.3e-05,box_center,5
20260425_173034,,timing,grid,450.0,440.0,198000.0,0,0,0,7,6,6,6,6,5,,,,5.47,1.449,9.128725,0.336193,5.122586,0.002841,,0.005,0.001,0.0,5.133,19.195,5.906,6.159,12.659,0.0,10.03,14.104,773,0,,41.522,391.36,,4768.556,0.2861,7.225,complete,,True,4.946351,4.182,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_024_20260425_173025,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_024_20260425_173025/manifest.jsonl,773,50.652,0.338308,0.0,5.131484,1e-05,box_center,5
20260425_173156,,timing,grid,450.0,440.0,198000.0,0,0,0,6,6,6,6,6,6,,,,5.07,1.464,6.752722,0.338897,4.718716,0.002892,,0.003,0.001,0.0,5.076,18.734,3.235,3.753,14.596,0.0,12.036,14.038,760,0,,42.605,387.17,,4647.342,0.2788,8.45,complete,,True,3.473909,3.278524,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_025_20260425_173149,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_025_20260425_173149/manifest.jsonl,760,49.359,0.340448,0.0,4.728706,1e-05,box_center,5
20260425_173500,,timing,grid,450.0,440.0,198000.0,0,0,0,10,10,10,10,10,10,,,,1.644,1.481,7.83562,0.069339,1.567312,0.002094,,0.015,0.002,0.001,8.187,35.027,12.431,12.766,21.545,0.0,20.083,20.036,1113,0,,66.63,567.09,,2971.634,0.1783,9.005,complete,,True,4.092641,3.742735,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_026_20260425_173453,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_026_20260425_173453/manifest.jsonl,1113,74.467,0.06965,0.0,1.573594,7e-06,box_center,1
20260425_180942,,timing,grid,450.0,440.0,198000.0,0,0,0,10,10,10,10,10,10,,,,1.246,1.441,3.912841,0.064127,1.176413,0.001941,,0.011,0.002,0.001,8.16,32.43,8.891,9.233,22.529,0.0,20.049,18.413,1015,0,,63.27,570.31,,3129.445,0.1878,9.483,complete,,True,2.010571,1.90196,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_027_20260425_180938,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_027_20260425_180938/manifest.jsonl,1015,67.185,0.064492,0.0,1.181347,9e-06,box_center,1
/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_003_20260501_185416,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_003_20260501_185416/manifest.jsonl,49,49,0,0.977,3.349,failed
20260501_195639,,timing,grid,450.0,440.0,198000.0,16,0,16,,,,,0,0,,,,,3.892,4.225052,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,2.296,,,86236.934,5.1742,0.0,failed,"Ground truth target plants: 10 Green Spiked (class 1), 6 Red Plant (class 2).",True,3.845678,0.37902,640,3,1,0.001,5,1,10.0,centered,250,250,,2,75,15.0,7,3.0,False,True,640,3,0,300,103,1,2800,0,300,50,1,2800,/home/brian/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_004_20260501_195606,/home/brian/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_004_20260501_195606/manifest.jsonl,0,35.333

20260501_200228,,timing,grid,450.0,440.0,198000.0,0,0,0,3,0,0,0,0,0,,,,0.92,3.198,3.656005,0.068261,0.841492,0.001236,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459,25,0,,1.776,,,111486.486,6.6892,0.0,complete,,True,3.261184,0.394579,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_005_20260501_200228,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_005_20260501_200228/manifest.jsonl,25,1.778,0.068534,0.0,0.850985,1.1e-05,box_center,1
20260501_200451,,timing,grid,450.0,440.0,198000.0,0,0,0,0,3,0,0,0,0,,,,0.935,3.403,3.678191,0.064378,0.85647,0.001379,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456,24,0,,1.749,,,113207.547,6.7925,0.0,complete,,True,3.277667,0.400258,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_006_20260501_200451,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_006_20260501_200451/manifest.jsonl,24,1.752,0.064741,0.0,0.869558,1e-05,box_center,1
20260501_200610,,timing,grid,450.0,440.0,198000.0,0,0,0,16,0,0,0,0,0,,,,1.046,3.26,3.635577,0.072347,0.961072,0.002195,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,25,0,,1.828,,,108315.098,6.4989,0.0,complete,,True,3.220711,0.414647,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_007_20260501_200610,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_007_20260501_200610/manifest.jsonl,25,1.83,0.072487,0.0,0.973465,4e-06,box_center,1
20260501_200745,,timing,grid,450.0,440.0,198000.0,0,0,0,,,,,0,0,,,,,3.099,3.706336,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.82,,,241463.415,14.4878,0.0,failed,,True,3.292899,0.413238,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_008_20260501_200745,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_008_20260501_200745/manifest.jsonl,0,0.822
20260501_200857,,timing,grid,450.0,440.0,198000.0,0,0,0,,,,,0,0,,,,,3.323,3.699243,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.807,,,245353.16,14.7212,0.0,failed,,True,3.294381,0.404607,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_009_20260501_200857,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_009_20260501_200857/manifest.jsonl,0,0.812
20260501_202811,,timing,grid,450.0,440.0,198000.0,0,0,0,,,,,0,0,,,,,3.428,3.696888,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,12,0,,0.858,,,230769.231,13.8462,0.0,failed,,True,3.296926,0.398237,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_010_20260501_202811,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_010_20260501_202811/manifest.jsonl,13,0.862
20260501_202936,,timing,grid,450.0,440.0,198000.0,0,0,0,,,,,0,0,,,,,3.368,3.644853,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246,12,0,,0.839,,,235995.232,14.1597,0.0,failed,,True,3.247135,0.397527,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_011_20260501_202936,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_011_20260501_202936/manifest.jsonl,13,0.844
20260501_203044,,timing,grid,450.0,440.0,198000.0,0,0,0,,,,,0,0,,,,,3.262,3.707843,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,16,0,,1.11,,,178378.378,10.7027,0.0,failed,,True,3.297554,0.410062,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_012_20260501_203044,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_012_20260501_203044/manifest.jsonl,17,1.111

20260501_203144,,timing,grid,450.0,440.0,198000.0,0,0,0,,,,,0,0,,,,,3.24,3.898681,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645,33,0,,2.406,,,82294.264,4.9377,0.0,failed,,True,3.471125,0.427352,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_013_20260501_203144,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_013_20260501_203144/manifest.jsonl,33,2.408
20260501_203303,,timing,grid,450.0,440.0,198000.0,0,0,0,,,,,0,0,,,,,3.194,3.660078,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.704,35,0,,2.478,,,79903.148,4.7942,0.0,failed,,True,3.258255,0.401612,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_014_20260501_203303,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_014_20260501_203303/manifest.jsonl,35,2.481


20260501_205325,,timing,grid,450.0,440.0,198000.0,0,0,0,19,21,18,18,7,3,,,,3.339,4.191,9.184605,0.330048,1.641435,0.007464,,0.035,0.002,0.001,5.606,11.749,1.515,1.768,9.752,0.0,6.018,38.108,1936,0,,129.713,1641.97,,1526.447,0.0916,1.388,user_aborted,,True,8.790068,0.394321,640,3,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_001_20260501_205325,/home/eli/LaserWeeder_CleanRuntime/trial_recordings/trial_001_20260501_205325/manifest.jsonl,1936,129.714,0.33173,0.0,3.006929,8e-06,box_center,5
