t,x,y,theta,v,w
17.314,-0.1211,0.0002,-0.0105,0.000,-0.175
17.321,-0.1211,0.0002,-0.0117,0.000,-0.167
17.329,-0.1211,0.0002,-0.0131,0.000,-0.167
17.337,-0.1211,0.0002,-0.0143,0.001,-0.155
17.345,-0.1211,0.0002,-0.0155,0.001,-0.155
17.351,-0.1211,0.0002,-0.0165,0.001,-0.155
17.359,-0.1211,0.0002,-0.0176,0.001,-0.142
17.367,-0.1210,0.0002,-0.0187,0.001,-0.142
17.374,-0.1210,0.0002,-0.0198,0.001,-0.142
17.382,-0.1210,0.0002,-0.0208,0.000,-0.133
17.390,-0.1210,0.0002,-0.0218,0.000,-0.133
17.398,-0.1210,0.0002,-0.0228,0.001,-0.120
17.405,-0.1210,0.0002,-0.0237,0.001,-0.120
17.414,-0.1210,0.0002,-0.0247,0.001,-0.120
17.421,-0.1210,0.0002,-0.0255,0.001,-0.108
17.428,-0.1210,0.0002,-0.0263,0.001,-0.108
17.436,-0.1210,0.0002,-0.0271,0.000,-0.102
17.443,-0.1210,0.0002,-0.0278,0.000,-0.102
17.451,-0.1210,0.0002,-0.0286,0.000,-0.102
17.458,-0.1210,0.0002,-0.0293,0.000,-0.091
17.466,-0.1210,0.0002,-0.0300,0.000,-0.091
17.474,-0.1210,0.0002,-0.0307,0.000,-0.091
17.482,-0.1210,0.0002,-0.0313,0.000,-0.081
17.489,-0.1210,0.0002,-0.0320,0.000,-0.081
17.497,-0.1210,0.0002,-0.0325,0.000,-0.073
17.505,-0.1210,0.0002,-0.0331,0.000,-0.073
17.512,-0.1210,0.0002,-0.0336,0.000,-0.073
17.519,-0.1210,0.0002,-0.0341,0.000,-0.062
17.527,-0.1210,0.0002,-0.0345,0.000,-0.062
17.535,-0.1210,0.0002,-0.0350,0.000,-0.062
17.543,-0.1210,0.0002,-0.0354,0.000,-0.047
17.550,-0.1210,0.0002,-0.0358,0.000,-0.047
17.558,-0.1210,0.0002,-0.0361,-0.001,-0.039
17.567,-0.1210,0.0002,-0.0364,-0.001,-0.039
17.576,-0.1210,0.0002,-0.0367,0.000,-0.030
17.585,-0.1210,0.0002,-0.0369,0.000,-0.030
17.593,-0.1210,0.0002,-0.0372,0.000,-0.030
17.600,-0.1210,0.0002,-0.0373,0.000,-0.021
17.609,-0.1210,0.0002,-0.0375,0.000,-0.021
17.616,-0.1210,0.0002,-0.0377,0.000,-0.021
17.623,-0.1210,0.0002,-0.0377,0.001,-0.010
17.631,-0.1210,0.0002,-0.0378,0.001,-0.010
17.638,-0.1210,0.0002,-0.0371,-0.001,0.100
17.646,-0.1210,0.0002,-0.0363,-0.001,0.100
17.653,-0.1210,0.0002,-0.0356,-0.001,0.100
17.661,-0.1211,0.0002,-0.0347,-0.015,0.117
17.668,-0.1212,0.0002,-0.0338,-0.015,0.117
17.676,-0.1214,0.0002,-0.0331,-0.014,0.091
17.684,-0.1215,0.0002,-0.0324,-0.014,0.091
17.691,-0.1216,0.0002,-0.0318,-0.014,0.091
17.698,-0.1216,0.0002,-0.0313,-0.005,0.058
17.706,-0.1216,0.0002,-0.0309,-0.005,0.058
17.713,-0.1217,0.0002,-0.0305,-0.005,0.058
17.720,-0.1217,0.0002,-0.0301,-0.003,0.052
17.728,-0.1217,0.0002,-0.0297,-0.003,0.052
17.736,-0.1217,0.0002,-0.0293,-0.003,0.052
17.743,-0.1217,0.0002,-0.0291,0.000,0.032
17.750,-0.1217,0.0002,-0.0288,0.000,0.032
17.757,-0.1217,0.0002,-0.0288,-0.001,0.012
17.766,-0.1218,0.0002,-0.0286,-0.001,0.012
17.774,-0.1218,0.0002,-0.0286,-0.001,0.012
17.781,-0.1218,0.0002,-0.0285,0.000,0.002
17.789,-0.1218,0.0002,-0.0285,0.000,0.002
17.797,-0.1218,0.0002,-0.0285,0.000,0.000
17.805,-0.1218,0.0002,-0.0285,0.000,0.000
17.813,-0.1218,0.0002,-0.0285,0.000,0.000
17.820,-0.1218,0.0002,-0.0285,0.000,0.000
17.828,-0.1218,0.0002,-0.0285,0.000,0.000
17.836,-0.1218,0.0002,-0.0285,0.000,0.000
17.844,-0.1218,0.0002,-0.0285,0.000,0.000
17.851,-0.1218,0.0002,-0.0285,0.000,0.000
17.858,-0.1218,0.0002,-0.0285,0.000,0.000
17.867,-0.1218,0.0002,-0.0285,0.000,0.000
17.874,-0.1218,0.0002,-0.0285,0.000,0.000
17.883,-0.1218,0.0002,-0.0285,0.000,0.000
17.890,-0.1218,0.0002,-0.0285,0.000,0.000
17.897,-0.1218,0.0002,-0.0285,0.000,0.000
17.906,-0.1218,0.0002,-0.0285,0.000,0.000
17.913,-0.1218,0.0002,-0.0285,0.000,0.000
17.919,-0.1218,0.0002,-0.0285,0.000,0.000
17.926,-0.1218,0.0002,-0.0285,0.000,0.000
17.932,-0.1218,0.0002,-0.0285,0.000,0.000
17.940,-0.1218,0.0002,-0.0285,0.000,0.000
17.948,-0.1218,0.0002,-0.0285,0.000,0.000
17.955,-0.1218,0.0002,-0.0285,0.000,0.000
17.962,-0.1218,0.0002,-0.0285,0.000,0.000
17.967,-0.1218,0.0002,-0.0285,0.000,0.000
17.969,-0.1218,0.0002,-0.0285,0.000,0.000
18.073,-0.1218,0.0002,-0.0285,0.000,0.000
18.080,-0.1218,0.0002,-0.0285,0.000,0.000
18.088,-0.1218,0.0002,-0.0285,0.000,0.000
18.097,-0.1218,0.0002,-0.0285,0.000,0.000
18.106,-0.1218,0.0002,-0.0285,0.000,0.000
18.113,-0.1218,0.0002,-0.0285,0.000,0.000
18.121,-0.1218,0.0002,-0.0285,0.000,0.000
18.128,-0.1218,0.0002,-0.0285,0.000,0.000
